lexemeCurrentNode        lineno   tokenName                valueIfNumber    parentNodeSymbol         isLeaf   NodeSymbol              
~~~~                     21       ~~~~                     ~~~~             FIELD_DEFINITION         no       FIELD_TYPE              
:                        21       TK_COLON                 ~~~~             FIELD_DEFINITION         yes      TK_COLON                
val                      21       TK_FIELDID               ~~~~             FIELD_DEFINITION         yes      TK_FIELDID              
;                        21       TK_SEM                   ~~~~             FIELD_DEFINITION         yes      TK_SEM                  
~~~~                     22       ~~~~                     ~~~~             TYPE_DEFINITION          no       FIELD_DEFINITIONS       
endrecord                22       TK_ENDRECORD             ~~~~             TYPE_DEFINITION          yes      TK_ENDRECORD            
~~~~                     20       ~~~~                     ~~~~             TYPE_DEFINITIONS         no       ACTUAL_OR_REDEFINED     
~~~~                     24       ~~~~                     ~~~~             TYPE_DEFINITIONS         no       TYPE_DEFINITIONS        
union                    24       TK_UNION                 ~~~~             TYPE_DEFINITION          yes      TK_UNION                
~~~~                     28       ~~~~                     ~~~~             ACTUAL_OR_REDEFINED      no       TYPE_DEFINITION         
#student                 24       TK_RUID                  ~~~~             TYPE_DEFINITION          yes      TK_RUID                 
type                     25       TK_TYPE                  ~~~~             FIELD_DEFINITION         yes      TK_TYPE                 
~~~~                     25       ~~~~                     ~~~~             FIELD_DEFINITIONS        no       FIELD_DEFINITION        
int                      25       TK_INT                   ~~~~             PRIMITIVE_DATATYPE       yes      TK_INT                  
~~~~                     25       ~~~~                     ~~~~             FIELD_TYPE               no       PRIMITIVE_DATATYPE      
~~~~                     25       ~~~~                     ~~~~             FIELD_DEFINITION         no       FIELD_TYPE              
:                        25       TK_COLON                 ~~~~             FIELD_DEFINITION         yes      TK_COLON                
rollno                   25       TK_FIELDID               ~~~~             FIELD_DEFINITION         yes      TK_FIELDID              
;                        25       TK_SEM                   ~~~~             FIELD_DEFINITION         yes      TK_SEM                  
~~~~                     27       ~~~~                     ~~~~             TYPE_DEFINITION          no       FIELD_DEFINITIONS       
